Mac Prefix,Vendor Name,Private,Block Type,Last Update
00:10:6F,TRENTON TECHNOLOGY INC.,false,MA-L,2015/11/17
00:10:70,CARADON TREND LTD.,false,MA-L,2015/11/17
00:10:71,ADVANET INC.,false,MA-L,2015/11/17
00:10:72,"GVN TECHNOLOGIES, INC.",false,MA-L,2015/11/17
00:10:73,"TECHNOBOX, INC.",false,MA-L,2015/11/17
00:10:74,"ATEN INTERNATIONAL CO., LTD.",false,MA-L,2015/11/17
00:10:75,Segate Technology LLC,false,MA-L,2015/11/17
00:10:76,EUREM GmbH,false,MA-L,2015/11/17
00:10:77,"SAF DRIVE SYSTEMS, LTD.",false,MA-L,2015/11/17
00:10:78,"NUERA COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:79,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:7A,"AmbiCom, Inc.",false,MA-L,2015/11/17
00:10:7B,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:7C,"P-COM, INC.",false,MA-L,2015/11/17
00:10:7D,"AURORA COMMUNICATIONS, LTD.",false,MA-L,2015/11/17
00:10:7E,BACHMANN ELECTRONIC GmbH,false,MA-L,2015/11/17
00:10:7F,"CRESTRON ELECTRONICS, INC.",false,MA-L,2020/01/24
00:10:80,METAWAVE COMMUNICATIONS,false,MA-L,2015/11/17
00:10:81,"DPS, INC.",false,MA-L,2015/11/17
00:10:82,JNA TELECOMMUNICATIONS LIMITED,false,MA-L,2015/11/17
00:10:83,Hewlett Packard,false,MA-L,2015/11/17
00:10:84,K-BOT COMMUNICATIONS,false,MA-L,2015/11/17
00:10:85,"POLARIS COMMUNICATIONS, INC.",false,MA-L,2015/11/17
00:10:86,"ATTO Technology, Inc.",false,MA-L,2015/11/17
00:10:87,XSTREAMIS PLC,false,MA-L,2019/07/02
00:10:88,AMERICAN NETWORKS INC.,false,MA-L,2015/11/17
00:10:89,WebSonic,false,MA-L,2015/11/17
00:10:8A,"TeraLogic, Inc.",false,MA-L,2015/11/17
00:10:8B,LASERANIMATION SOLLINGER GMBH,false,MA-L,2015/11/17
00:10:8C,Fujitsu Services Ltd,false,MA-L,2016/11/17
00:10:8D,"Johnson Controls, Inc.",false,MA-L,2015/11/17
00:10:8E,HUGH SYMONS CONCEPT Technologies Ltd.,false,MA-L,2015/11/17
00:10:8F,RAPTOR SYSTEMS,false,MA-L,2015/11/17
00:10:90,"CIMETRICS, INC.",false,MA-L,2015/11/17
00:10:91,NO WIRES NEEDED BV,false,MA-L,2015/11/17
00:10:92,NETCORE INC.,false,MA-L,2015/11/17
00:10:94,"Performance Analysis Broadband, Spirent plc",false,MA-L,2015/11/17
00:10:95,Thomson Inc.,false,MA-L,2015/11/17
00:10:96,"TRACEWELL SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:97,"WinNet Metropolitan Communications Systems, Inc.",false,MA-L,2015/11/17
00:10:98,"STARNET TECHNOLOGIES, INC.",false,MA-L,2015/11/17
00:10:99,"InnoMedia, Inc.",false,MA-L,2015/11/17
00:10:9A,NETLINE,false,MA-L,2015/11/17
00:10:9B,Emulex Corporation,false,MA-L,2015/11/17
00:10:9C,"M-SYSTEM CO., LTD.",false,MA-L,2015/11/17
00:10:9D,"CLARINET SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:9E,"AWARE, INC.",false,MA-L,2015/11/17
00:10:9F,"PAVO, INC.",false,MA-L,2015/11/17
00:10:A0,"INNOVEX TECHNOLOGIES, INC.",false,MA-L,2015/11/17
00:10:A1,"KENDIN SEMICONDUCTOR, INC.",false,MA-L,2015/11/17
00:10:A2,TNS,false,MA-L,2015/11/17
00:10:A3,"OMNITRONIX, INC.",false,MA-L,2015/11/17
00:10:A4,XIRCOM,false,MA-L,2015/11/17
00:10:A5,OXFORD INSTRUMENTS,false,MA-L,2015/11/17
00:10:A6,"Cisco Systems, Inc",false,MA-L,2015/11/17
00:10:A7,UNEX TECHNOLOGY CORPORATION,false,MA-L,2015/11/17
00:10:A8,RELIANCE COMPUTER CORP.,false,MA-L,2015/11/17
00:10:A9,ADHOC TECHNOLOGIES,false,MA-L,2015/11/17
00:10:AA,"MEDIA4, INC.",false,MA-L,2015/11/17
00:10:AB,"KOITO ELECTRIC INDUSTRIES, LTD.",false,MA-L,2015/11/17
00:10:AC,IMCI TECHNOLOGIES,false,MA-L,2015/11/17
00:10:AD,"SOFTRONICS USB, INC.",false,MA-L,2015/11/17
00:10:AE,SHINKO ELECTRIC INDUSTRIES CO.,false,MA-L,2015/11/17
00:10:B0,MERIDIAN TECHNOLOGY CORP.,false,MA-L,2015/11/17
00:10:B1,"FOR-A CO., LTD.",false,MA-L,2015/11/17
00:10:B2,COACTIVE AESTHETICS,false,MA-L,2015/11/17
00:10:B3,NOKIA MULTIMEDIA TERMINALS,false,MA-L,2015/11/17
00:10:B4,ATMOSPHERE NETWORKS,false,MA-L,2015/11/17
00:10:B5,Accton Technology Corp,false,MA-L,2019/07/02
00:10:B6,ENTRATA COMMUNICATIONS CORP.,false,MA-L,2015/11/17
00:10:B7,"COYOTE TECHNOLOGIES, LLC",false,MA-L,2015/11/17
00:10:B8,ISHIGAKI COMPUTER SYSTEM CO.,false,MA-L,2015/11/17
00:10:B9,MAXTOR CORP.,false,MA-L,2015/11/17
00:10:BA,"MARTINHO-DAVIS SYSTEMS, INC.",false,MA-L,2015/11/17
00:10:BB,DATA & INFORMATION TECHNOLOGY,false,MA-L,2015/11/17
00:10:BC,Aastra Telecom,false,MA-L,2015/11/17
00:10:BD,THE TELECOMMUNICATION TECHNOLOGY COMMITTEE (TTC),false,MA-L,2015/11/17
00:10:BE,MARCH NETWORKS CORPORATION,false,MA-L,2015/11/17
00:10:BF,InterAir Wireless,false,MA-L,2015/11/17
00:10:C0,"ARMA, Inc.",false,MA-L,2015/11/17
00:10:C1,"OI ELECTRIC CO.,LTD",false,MA-L,2016/04/06
